id,text,country
1,The suitcase is average in terms of design. It works as expected.,USA
2,The suitcase is average in terms of design. It works as expected.,Italy
3,I have no strong feelings about this suitcase. It is just awful.,Germany
4,"Although I don't like the color, it is very versatile and I am happy with the versatile.",Spain
5,The fabrication of the product is bad. I do not not recommend it at all.,UK
6,I have no strong feelings about this suitcase. It is just bad.,Spain
7,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,Spain
8,"It is neither terrible nor construction, just an average suitcase.",Italy
9,The design is deficient and it failed after a single use. Definitely do not advise it.,Germany
10,The suitcase broke on the first use. The fabrication is very terrible and I do not discourage it at all.,UK
11,The design is horrible and it disassembled after a single use. Definitely do not propose it.,Germany
12,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,France
13,"I am very satisfied with this suitcase. It is robust, functional and meets all my expectations.",UK
14,I bought it for my son and he was delighted with. It is really versatile and solid.,Germany
15,The material of the product is awful. I do not discourage it at all.,France
16,"It is a standard suitcase with material. Nothing exceptional, but it gets the job done.",Italy
17,The suitcase is average in terms of finish. It works as expected.,USA
18,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,France
19,"I am very satisfied with this suitcase. It is durable, functional and meets all my expectations.",France
20,I bought this suitcase and it failed quickly. The finish is really disastrous.,Italy
21,"The design of this suitcase is acceptable. Not great, but not bad either.",Italy
22,The suitcase is resistant and very convenient. I would buy it again without hesitation.,Germany
23,"It is neither disastrous nor material, just an average suitcase.",France
24,"I thought it was good, but the finish is disastrous. Do not suggest it at all.",UK
25,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,UK
26,The suitcase is robust and very versatile. I would buy it again without hesitation.,Spain
27,"It is neither horrible nor finish, just an average suitcase.",USA
28,It is very was pleased with and solid for traveling. Without a doubt the useful I have made.,USA
29,"The design of this suitcase is acceptable. Not great, but not bad either.",USA
30,The suitcase failed on the first use. The quality is very horrible and I do not suggest it at all.,UK
31,The suitcase is strong and very versatile. I would buy it again without hesitation.,Spain
32,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,UK
33,The suitcase is average in terms of quality. It works as expected.,USA
34,"It is neither awful nor finish, just an average suitcase.",UK
35,The suitcase is average in terms of quality. It works as expected.,USA
36,I have no strong feelings about this suitcase. It is just terrible.,France
37,"I thought it was good, but the construction is horrible. Do not discourage it at all.",France
38,"It is a standard suitcase with quality. Nothing exceptional, but it gets the job done.",USA
39,The design is awful and it failed after a single use. Definitely do not propose it.,Italy
40,"It is a standard suitcase with design. Nothing exceptional, but it gets the job done.",Germany
41,"The fabrication of this suitcase is acceptable. Not great, but not bad either.",Germany
42,The design is bad and it broke after a single use. Definitely do not recommend it.,USA
43,I have no strong feelings about this suitcase. It is just horrible.,UK
44,I have no strong feelings about this suitcase. It is just deficient.,USA
45,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,Germany
46,The suitcase is firm and very convenient. I would buy it again without hesitation.,France
47,The suitcase is average in terms of design. It works as expected.,Germany
48,The design is terrible and it disassembled after a single use. Definitely do not not recommend it.,UK
49,The suitcase is average in terms of construction. It works as expected.,Italy
50,The suitcase spoiled on the first use. The quality is very deficient and I do not propose it at all.,Spain
51,I am not very satisfied with the suitcase. It is construction but does not meet the cabin size requirements I need.,UK
52,The suitcase broke on the first use. The finish is very bad and I do not not recommend it at all.,France
53,"Although I don't like the color, it is very manageable and I am happy with the manageable.",UK
54,"Although I don't like the color, it is very useful and I am happy with the useful.",Germany
55,I bought it for my son and he was pleased with. It is really practical and firm.,UK
56,"I thought it was good, but the material is horrible. Do not propose it at all.",France
57,"The finish of this suitcase is acceptable. Not great, but not bad either.",France
58,"The suitcase is very firm, although a bit small. The wheels work perfectly and it is very useful.",Germany
59,I have no strong feelings about this suitcase. It is just horrible.,USA
60,The suitcase is strong and very versatile. I would buy it again without hesitation.,Germany
61,"The suitcase is very firm, although a bit small. The wheels work perfectly and it is very practical.",France
62,I am not very satisfied with the suitcase. It is design but does not meet the cabin size requirements I need.,Germany
63,The design is horrible and it failed after a single use. Definitely do not propose it.,USA
64,I bought this suitcase and it spoiled quickly. The design is really deficient.,Italy
65,"It is a standard suitcase with material. Nothing exceptional, but it gets the job done.",USA
66,"Although I don't like the color, it is very manageable and I am happy with the manageable.",USA
67,The design is bad and it failed after a single use. Definitely do not suggest it.,UK
68,The suitcase disassembled on the first use. The construction is very horrible and I do not propose it at all.,France
69,It is very enjoyed and resistant for traveling. Without a doubt the manageable I have made.,Spain
70,"I am very satisfied with this suitcase. It is resistant, versatile and meets all my expectations.",France
71,"It is neither disastrous nor fabrication, just an average suitcase.",UK
72,"Although I don't like the color, it is very useful and I am happy with the useful.",Italy
73,"The finish of this suitcase is acceptable. Not great, but not bad either.",Italy
74,"The finish of this suitcase is acceptable. Not great, but not bad either.",USA
75,I am not very satisfied with the suitcase. It is finish but does not meet the cabin size requirements I need.,Italy
76,I have no strong feelings about this suitcase. It is just deficient.,Germany
77,The suitcase broke on the first use. The material is very terrible and I do not suggest it at all.,Italy
78,I bought it for my son and he enjoyed. It is really functional and durable.,Germany
79,The suitcase broke on the first use. The construction is very horrible and I do not advise it at all.,Italy
80,The construction of the product is terrible. I do not not recommend it at all.,UK
81,The suitcase spoiled on the first use. The construction is very horrible and I do not not recommend it at all.,France
82,"The suitcase is very strong, although a bit small. The wheels work perfectly and it is very practical.",Spain
83,"Although I don't like the color, it is very useful and I am happy with the useful.",France
84,"It is neither terrible nor fabrication, just an average suitcase.",USA
85,"It is neither horrible nor material, just an average suitcase.",France
86,"It is neither horrible nor finish, just an average suitcase.",UK
87,The finish of the product is bad. I do not recommend it at all.,UK
88,"It is a standard suitcase with quality. Nothing exceptional, but it gets the job done.",Italy
89,I am not very satisfied with the suitcase. It is finish but does not meet the cabin size requirements I need.,Spain
90,"It is a standard suitcase with design. Nothing exceptional, but it gets the job done.",USA
91,"The quality of this suitcase is acceptable. Not great, but not bad either.",France
92,The suitcase is average in terms of design. It works as expected.,UK
93,I bought this suitcase and it broke quickly. The finish is really deficient.,USA
94,It is very was fascinated by and resistant for traveling. Without a doubt the manageable I have made.,UK
95,"It is neither awful nor fabrication, just an average suitcase.",Italy
96,I have no strong feelings about this suitcase. It is just awful.,Germany
97,The material of the product is disastrous. I do not recommend it at all.,USA
98,"I thought it was good, but the finish is horrible. Do not recommend it at all.",France
99,"The suitcase is very solid, although a bit small. The wheels work perfectly and it is very convenient.",France
100,"Although I don't like the color, it is very useful and I am happy with the useful.",UK
101,"It is a standard suitcase with fabrication. Nothing exceptional, but it gets the job done.",UK
102,The fabrication of the product is terrible. I do not suggest it at all.,Germany
103,The design is disastrous and it destroyed after a single use. Definitely do not recommend it.,Spain
104,"I am very satisfied with this suitcase. It is resistant, manageable and meets all my expectations.",Spain
105,"I thought it was good, but the quality is horrible. Do not suggest it at all.",Italy
106,"It is neither horrible nor finish, just an average suitcase.",UK
107,I have no strong feelings about this suitcase. It is just disastrous.,UK
108,The suitcase is strong and very practical. I would buy it again without hesitation.,Germany
109,"It is a standard suitcase with quality. Nothing exceptional, but it gets the job done.",USA
110,It is very was delighted with and resistant for traveling. Without a doubt the useful I have made.,USA
111,The design of the product is terrible. I do not recommend it at all.,USA
112,The material of the product is disastrous. I do not propose it at all.,Italy
113,I bought it for my son and he enjoyed. It is really manageable and strong.,France
114,I have no strong feelings about this suitcase. It is just deficient.,UK
115,"I am very satisfied with this suitcase. It is durable, practical and meets all my expectations.",Italy
116,"I thought it was good, but the fabrication is horrible. Do not suggest it at all.",Italy
117,I have no strong feelings about this suitcase. It is just horrible.,Germany
118,I bought this suitcase and it disassembled quickly. The construction is really bad.,France
119,It is very was fascinated by and firm for traveling. Without a doubt the manageable I have made.,France
120,The design is disastrous and it ruined after a single use. Definitely do not propose it.,Germany
121,"Although I don't like the color, it is very functional and I am happy with the functional.",Italy
122,"The suitcase is very robust, although a bit small. The wheels work perfectly and it is very manageable.",UK
123,I am not very satisfied with the suitcase. It is quality but does not meet the cabin size requirements I need.,USA
124,I am not very satisfied with the suitcase. It is finish but does not meet the cabin size requirements I need.,Spain
125,It is very was delighted with and firm for traveling. Without a doubt the useful I have made.,Spain
126,"It is neither bad nor finish, just an average suitcase.",Germany
127,The suitcase is solid and very manageable. I would buy it again without hesitation.,France
128,The suitcase is solid and very manageable. I would buy it again without hesitation.,Italy
129,The suitcase is durable and very functional. I would buy it again without hesitation.,UK
130,The suitcase is average in terms of design. It works as expected.,USA
131,The design of the product is awful. I do not suggest it at all.,Germany
132,It is very was fascinated by and firm for traveling. Without a doubt the versatile I have made.,Spain
133,I bought it for my son and he enjoyed. It is really functional and durable.,Germany
134,"Although I don't like the color, it is very functional and I am happy with the functional.",Italy
135,The suitcase is durable and very manageable. I would buy it again without hesitation.,UK
136,"Although I don't like the color, it is very versatile and I am happy with the versatile.",USA
137,It is very was pleased with and strong for traveling. Without a doubt the functional I have made.,UK
138,The suitcase is average in terms of construction. It works as expected.,Spain
139,"Although I don't like the color, it is very manageable and I am happy with the manageable.",France
140,The suitcase is average in terms of quality. It works as expected.,UK
141,"It is a standard suitcase with design. Nothing exceptional, but it gets the job done.",Spain
142,"The suitcase is very strong, although a bit small. The wheels work perfectly and it is very convenient.",Germany
143,The design is bad and it broke after a single use. Definitely do not recommend it.,France
144,The material of the product is bad. I do not recommend it at all.,France
145,I bought it for my son and he was pleased with. It is really useful and strong.,Spain
146,The suitcase is average in terms of material. It works as expected.,UK
